CAMBORNE                                   © Crown Copyright  Met Office 2015,,,,,,,,,,,,,,
NGR = 1627E 4067N,,,,,,,,,,,,,,
Altitude = 87 metres,,,,,,,,,,,,,,
Latitude = 50:22N Longitude = 05:33W,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date,Daily Mean Temperature (0900-0900) (°C),Daily Total Rainfall (0900-0900) (mm),Daily Total Sunshine (0000-2400) (hrs),Daily Mean Windspeed (0000-2400) (kn),Daily Mean Windspeed (0000-2400) (Beaufort conversion),Daily Maximum Gust (0000-2400) (kn),Daily Maximum Relative Humidity %,Daily Mean Total Cloud (oktas),Daily Mean Visibility (Dm),Daily Mean Pressure (hPa),Daily Mean Wind Direction (o),Cardinal Direction,Daily Max Gust Corresponding Direction (o),Cardinal Direction
01/05/1987,10.7,3.1,n/a,n/a,n/a,n/a,100,7,2000,1018,360,N,20,NNE
02/05/1987,8.9,0.1,n/a,n/a,n/a,n/a,91,3,3200,1020,320,NW,330,NNW
03/05/1987,8.1,0,n/a,n/a,n/a,n/a,77,5,3600,1029,350,N,350,N
04/05/1987,8.2,0,n/a,n/a,n/a,n/a,83,5,4100,1036,350,N,350,N
05/05/1987,9.8,0,n/a,n/a,n/a,n/a,86,5,2700,1036,10,N,10,N
06/05/1987,9.3,0,n/a,n/a,n/a,n/a,100,1,1000,1033,330,NNW,340,NNW
07/05/1987,10.9,0,n/a,n/a,n/a,n/a,100,3,600,1031,350,N,350,N
08/05/1987,10.5,tr,n/a,n/a,n/a,n/a,89,1,2400,1025,110,ESE,110,ESE
09/05/1987,10.9,0,n/a,n/a,n/a,n/a,95,3,900,1017,360,N,NA,#N/A
10/05/1987,9.9,0,n/a,n/a,n/a,n/a,79,4,4100,1018,10,N,10,N
11/05/1987,8.8,6,n/a,n/a,n/a,n/a,95,7,2500,1017,270,W,260,W
12/05/1987,10.2,tr,n/a,n/a,n/a,n/a,97,5,2400,1009,310,NW,310,NW
13/05/1987,9.2,2.2,n/a,n/a,n/a,n/a,77,4,4600,1016,340,NNW,340,NNW
14/05/1987,10.2,tr,5.9,16,Moderate,35,95,7,3100,1008,290,WNW,270,W
15/05/1987,9.6,0,12.3,13,Moderate,27,77,4,4500,1012,10,N,10,N
16/05/1987,8.7,tr,11.6,6,Light,16,92,4,3700,1015,290,WNW,290,WNW
17/05/1987,9.7,tr,0,7,Light,19,93,8,2900,1014,300,WNW,250,WSW
18/05/1987,10.4,0,4.1,14,Moderate,27,86,6,2300,1015,350,N,360,N
19/05/1987,9.5,0,4.4,8,Light,17,96,4,1900,1024,360,N,360,N
20/05/1987,11.1,0,11.9,6,Light,15,99,3,1600,1031,350,N,360,N
21/05/1987,10.5,0,11.3,12,Moderate,26,87,4,2700,1030,10,N,360,N
22/05/1987,11.1,0.3,7.8,11,Moderate,27,87,6,2600,1023,10,N,10,N
23/05/1987,9.8,0,10.8,11,Moderate,27,87,4,1400,1018,90,E,90,E
