Team,Year,Sport,Event,Medal
France,1956,Cycling,"Cycling Men's Road Race, Team",Gold
Italy,2016,Rowing,Rowing Men's Coxless Pairs,Bronze
Spain,2008,Fencing,"Fencing Men's epee, Individual",Bronze
France,2008,Handball,Handball Men's Handball,Gold
France,2012,Handball,Handball Men's Handball,Gold
France,2016,Handball,Handball Men's Handball,Silver
Spain,1996,Water Polo,Water Polo Men's Water Polo,Gold
Spain,1980,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
Spain,1984,Athletics,"Athletics Men's 1,500 metres",Bronze
Italy,1988,Rowing,Rowing Men's Quadruple Sculls,Gold
Italy,1996,Rowing,Rowing Men's Double Sculls,Gold
Italy,2000,Rowing,Rowing Men's Quadruple Sculls,Gold
Italy,1984,Rowing,Rowing Men's Coxed Pairs,Gold
Italy,1988,Rowing,Rowing Men's Coxed Pairs,Gold
Italy,1992,Rowing,Rowing Men's Coxed Pairs,Silver
Germany,1972,Gymnastics,Gymnastics Women's Team All-Around,Silver
Spain,1992,Football,Football Men's Football,Gold
Great Britain,1980,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Spain,2016,Basketball,Basketball Men's Basketball,Bronze
France,2004,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
France,2008,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Great Britain,1980,Judo,Judo Men's Lightweight,Silver
Great Britain,1984,Judo,Judo Men's Half-Middleweight,Silver
Great Britain,2012,Boxing,Boxing Women's Flyweight,Gold
Great Britain,2016,Boxing,Boxing Women's Flyweight,Gold
Germany,2012,Rowing,Rowing Men's Coxed Eights,Gold
Germany,1960,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Great Britain,2008,Swimming,Swimming Women's 400 metres Freestyle,Gold
Great Britain,2008,Swimming,Swimming Women's 800 metres Freestyle,Gold
Great Britain,2012,Swimming,Swimming Women's 400 metres Freestyle,Bronze
Great Britain,2012,Swimming,Swimming Women's 800 metres Freestyle,Bronze
Germany,1964,Rowing,Rowing Men's Coxed Eights,Silver
Italy,2004,Rowing,Rowing Men's Coxless Fours,Bronze
Italy,2008,Rowing,Rowing Men's Quadruple Sculls,Silver
France,2016,Judo,Judo Women's Half-Middleweight,Silver
France,2012,Swimming,Swimming Men's 200 metres Freestyle,Gold
France,2012,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
France,2012,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Spain,2012,Handball,Handball Women's Handball,Bronze
Spain,2016,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Germany,2004,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Germany,2016,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Germany,1976,Rowing,Rowing Women's Coxed Eights,Gold
Italy,2012,Water Polo,Water Polo Men's Water Polo,Silver
Italy,2016,Water Polo,Water Polo Men's Water Polo,Bronze
Italy,2016,Water Polo,Water Polo Women's Water Polo,Silver
Germany,2012,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
Great Britain,1996,Sailing,Sailing Mixed One Person Dinghy,Silver
Great Britain,2000,Sailing,Sailing Mixed One Person Dinghy,Gold
Great Britain,2004,Sailing,Sailing Men's One Person Dinghy,Gold
Great Britain,2008,Sailing,Sailing Mixed One Person Dinghy,Gold
Great Britain,2012,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold
Great Britain,1968,Sailing,Sailing Mixed 5.5 metres,Bronze
Great Britain,1984,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Great Britain,1992,Athletics,Athletics Men's 400 metres Hurdles,Bronze
Great Britain,1992,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Spain,2012,Sailing,Sailing Women's Windsurfer,Gold
Italy,1968,Sailing,Sailing Mixed One Person Dinghy,Bronze
Spain,2000,Football,Football Men's Football,Silver
Italy,1976,Water Polo,Water Polo Men's Water Polo,Silver
Italy,1968,Rowing,Rowing Men's Coxless Fours,Bronze
Spain,2008,Hockey,Hockey Men's Hockey,Silver
Great Britain,1960,Fencing,"Fencing Men's epee, Team",Silver
France,1984,Judo,Judo Men's Half-Lightweight,Bronze
France,1988,Judo,Judo Men's Lightweight,Gold
Great Britain,1984,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Bronze
Great Britain,1984,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Bronze
Great Britain,1988,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Silver
Great Britain,2000,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze
Great Britain,1968,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Silver
Great Britain,1968,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",Gold
Italy,2004,Water Polo,Water Polo Women's Water Polo,Gold
Germany,2008,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze
Germany,1992,Rowing,Rowing Women's Coxless Pairs,Silver
Italy,2004,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
Spain,1996,Hockey,Hockey Men's Hockey,Silver
France,1996,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
France,1996,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold
Spain,1980,Hockey,Hockey Men's Hockey,Silver
Spain,1960,Hockey,Hockey Men's Hockey,Bronze
Italy,1960,Water Polo,Water Polo Men's Water Polo,Gold
Germany,1988,Cycling,Cycling Men's 100 kilometres Team Time Trial,Gold
Italy,1992,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
France,2016,Judo,Judo Women's Heavyweight,Gold
Italy,1984,Athletics,Athletics Men's Shot Put,Gold
Italy,1964,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
France,1996,Rowing,Rowing Men's Coxless Pairs,Bronze
France,2000,Rowing,Rowing Men's Coxless Pairs,Gold
Italy,1996,Water Polo,Water Polo Men's Water Polo,Bronze
Germany,2008,Football,Football Women's Football,Bronze
