BEIJING                             © 2016 Crown Copyright Met Office
NGR = NA
Altitude = 55
Latitude =  39.933, 116.283

    date     temperature  rainfall    pressure  wind_speed    beaufort
 1987-05-01     13.7        6.0         1016        4.0        Light  
 1987-05-02     12.7        0.1         1018        4.5        Light  
 1987-05-03     17.0        0.0         1018        7.5        Light  
 1987-05-04     17.0        0.0         1016        8.0        Light  
 1987-05-05     19.8        0.0         1012        3.5        Light  
 1987-05-06     21.0        0.0         1007        9.5        Light  
 1987-05-07     21.5        0.0         1010        5.5        Light  
 1987-05-08     21.6        0.0         1012        8.5        Light  
 1987-05-09     21.2        0.0         1015        4.5        Light  
 1987-05-10     20.7        0.0         1015        6.5        Light  
 1987-05-11     21.6        0.0         1011        5.5        Light  
 1987-05-12     22.1        0.0         1014        6.0        Light  
 1987-05-13     17.6        0.0         1019        9.0        Light  
 1987-05-14     20.3        0.0         1008        7.5        Light  
 1987-05-15     21.3        4.0         1003        6.5        Light  
 1987-05-16     15.6        0.0         1012        10.0       Light  
 1987-05-17     17.6        0.0         1008        5.0        Light  
 1987-05-18     15.8        0.0         1005        2.5        Light  
 1987-05-19     22.2        0.0         1012        6.0        Light  
 1987-05-20     22.1        0.0         1009        4.5        Light  
 1987-05-21     23.8        6.0         1004        5.0        Light  
 1987-05-22     19.0        1.0         1001        3.0        Light  
 1987-05-23     21.2        0.0         1005        6.5        Light  
 1987-05-24     19.3        20.7        1010        3.0        Light  
 1987-05-25     20.7        0.0         1015        4.0        Light  
 1987-05-26     23.0        0.0         1017        6.5        Light  
 1987-05-27     22.8        0.0         1017        4.5        Light  
 1987-05-28     21.1        0.0         1011        4.0        Light  
 1987-05-29     23.4        0.0         1008        5.0        Light  
 1987-05-30     20.8        4.0         1009        3.0        Light  
 1987-05-31     18.9        23.7        1009        3.0        Light  
 1987-06-01     20.2        0.0         1006        3.3        Light  
 1987-06-02     21.7        0.0         1000        2.0        Light  
 1987-06-03     24.7        0.0         1001        5.0        Light  
 1987-06-04     27.7        0.0         1001        3.5        Light  
 1987-06-05     16.1        31.0        1014        12.5      Moderate
 1987-06-06     17.9        0.0         1015        5.5        Light  
 1987-06-07     23.4        0.0         1011        5.0        Light  
 1987-06-08     24.3        0.0         1009        4.0        Light  
 1987-06-09     24.9        0.0         1007        4.5        Light  
 1987-06-10     24.7        0.0         1009        6.0        Light  
 1987-06-11     22.8        0.0         1009        3.5        Light  
 1987-06-12     26.0        0.0         1007        7.0        Light  
 1987-06-13     24.2        0.0         1010        7.5        Light  
 1987-06-14     23.0        0.0         1010        6.5        Light  
 1987-06-15     25.0        0.0         1008        4.5        Light  
 1987-06-16     24.6        0.0         1008        5.0        Light  
 1987-06-17     24.6        9.0         1008        4.0        Light  
 1987-06-18     20.9        14.3        1009        4.0        Light  
 1987-06-19     24.9        0.0         1006        0.5        Light  
 1987-06-20     26.3        0.0         1008        5.5        Light  
 1987-06-21     26.1        0.0         1010        6.0        Light  
 1987-06-22     22.3        15.7        1005        3.5        Light  
 1987-06-23     20.6        19.0        1003        3.5        Light  
 1987-06-24     23.5        0.0         1004        5.0        Light  
 1987-06-25     23.5        0.0         1005        0.5        Light  
 1987-06-26     24.1        2.0         1007        4.5        Light  
 1987-06-27     23.9        0.3         1010        6.5        Light  
 1987-06-28     22.4        1.0         1007        3.5        Light  
 1987-06-29     23.2        0.0         1004        5.0        Light  
 1987-06-30     23.0        0.0         1008        6.0        Light  
 1987-07-01     23.8        0.0         1007        4.0        Light  
 1987-07-02     22.1        0.2         1004        3.3        Light  
 1987-07-03     26.0        0.0         1001        7.0        Light  
 1987-07-04     26.4        1.0         999         4.0        Light  
 1987-07-05     25.8        0.0         1000        6.0        Light  
 1987-07-06     25.7        0.0         1004        3.5        Light  
 1987-07-07     26.1        0.0         1003        3.3        Light  
 1987-07-08     27.2        0.1         1005        3.0        Light  
 1987-07-09     24.5        12.1        1005        4.0        Light  
 1987-07-10     25.4        13.6        997         3.0        Light  
 1987-07-11     29.8        0.0         998         2.5        Light  
 1987-07-12     27.1        0.1         1002        8.0        Light  
 1987-07-13     26.9        0.3         1006        6.0        Light  
 1987-07-14     23.4        53.0        1008        4.5        Light  
 1987-07-15     21.6        2.3         1006        4.0        Light  
 1987-07-16     26.5        0.0         1003        4.5        Light  
 1987-07-17     28.3        0.0         1003        6.0        Light  
 1987-07-18     27.6        0.0         1002        3.0        Light  
 1987-07-19     28.1        0.0         1000        5.5        Light  
 1987-07-20     23.9        22.5        999         2.5        Light  
 1987-07-21     24.1        2.0         996         4.0        Light  
 1987-07-22     27.6        0.0         999         4.7        Light  
 1987-07-23     27.6        0.0         1003        6.0        Light  
 1987-07-24     28.4        0.0         1003        6.5        Light  
 1987-07-25     29.3        0.0         1005        3.0        Light  
 1987-07-26     28.9        0.0         1008        5.5        Light  
 1987-07-27     28.2        0.0         1008        3.0        Light  
 1987-07-28     29.3        0.0         1005        2.5        Light  
 1987-07-29     28.2        0.0         1001        4.5        Light  
 1987-07-30     29.7        0.0         997         1.5        Light  
 1987-07-31     30.8        0.0         998         5.0        Light  
 1987-08-01     24.1        0.0         1002        3.5        Light  
 1987-08-02     27.4        0.1         1003        2.0        Light  
 1987-08-03     21.6        26.0        1005        6.0        Light  
 1987-08-04     27.8        0.0         1003        3.5        Light  
 1987-08-05     29.0        0.0         1005        3.0        Light  
 1987-08-06     22.1        19.0        1004        2.5        Light  
 1987-08-07     23.4        0.0         998         3.0        Light  
 1987-08-08     25.1        0.0         1003        2.5        Light  
 1987-08-09     26.5        0.0         1007        4.0        Light  
 1987-08-10     26.0        1.0         1010        4.5        Light  
 1987-08-11     25.7        0.0         1014        3.5        Light  
 1987-08-12     26.4        0.0         1014        3.5        Light  
 1987-08-13     22.9        62.0        1013        3.0        Light  
 1987-08-14     20.0        31.0        1010        1.5        Light  
 1987-08-15     23.3        0.0         1006        3.0        Light  
 1987-08-16     24.2        0.0         1006        3.0        Light  
 1987-08-17     25.6        0.1         1007        4.0        Light  
 1987-08-18     23.4        45.0        1007        4.5        Light  
 1987-08-19     24.3        0.9         1003        2.5        Light  
 1987-08-20     26.2        0.0         1004        1.5        Light  
 1987-08-21     27.4        0.0         1006        4.0        Light  
 1987-08-22     24.7        1.0         1007        3.0        Light  
 1987-08-23     24.1        4.0         1005        4.0        Light  
 1987-08-24     24.2        15.1        1004        3.5        Light  
 1987-08-25     25.4        0.1         1004        1.5        Light  
 1987-08-26     21.8        41.0        1000        6.5        Light  
 1987-08-27     25.4        0.0         997         4.5        Light  
 1987-08-28     26.4        0.0         1000        2.5        Light  
 1987-08-29     25.1        0.0         1002        3.5        Light  
 1987-08-30     24.0        0.0         1006        6.7        Light  
 1987-08-31     24.2        0.0         1009        4.0        Light  
 1987-09-01     24.6        0.0         1012        5.5        Light  
 1987-09-02     24.8        1.0         1012        2.5        Light  
 1987-09-03     20.2        11.0        1010        4.0        Light  
 1987-09-04     23.0        2.0         1009        8.0        Light  
 1987-09-05     21.9        3.0         1012        4.5        Light  
 1987-09-06     18.5        10.0        1014        4.0        Light  
 1987-09-07     20.3        0.0         1014        2.5        Light  
 1987-09-08     21.7        0.0         1012        9.0        Light  
 1987-09-09     22.0        0.0         1015        2.0        Light  
 1987-09-10     23.2        0.0         1019        1.0        Light  
 1987-09-11     23.6        0.0         1020        4.5        Light  
 1987-09-12     23.1        0.0         1015        3.5        Light  
 1987-09-13     23.7        0.0         1013        2.5        Light  
 1987-09-14     23.2        2.0         1015        5.3        Light  
 1987-09-15     19.9        0.0         1021        2.0        Light  
 1987-09-16     18.9        0.0         1018        6.5        Light  
 1987-09-17     21.0        0.0         1012        4.0        Light  
 1987-09-18     22.4        0.0         1007        2.0        Light  
 1987-09-19     24.4        0.0         1005        3.5        Light  
 1987-09-20     22.7        0.0         1013        5.0        Light  
 1987-09-21     20.5        0.0         1019        3.0        Light  
 1987-09-22     22.1        0.0         1019        2.5        Light  
 1987-09-23     22.6        2.0         1014        5.0        Light  
 1987-09-24     17.6        4.0         1016        12.0      Moderate
 1987-09-25     16.2        0.0         1023        7.5        Light  
 1987-09-26     16.9        0.0         1020        4.5        Light  
 1987-09-27     18.5        0.0         1017        3.0        Light  
 1987-09-28     16.3        0.2         1017        2.0        Light  
 1987-09-29     17.8        0.0         1016        2.0        Light  
 1987-09-30     18.9        0.0         1015        3.5        Light  
 1987-10-01     20.6        0.0         1013        5.0        Light  
 1987-10-02     19.1        0.0         1014        4.0        Light  
 1987-10-03     21.1        0.0         1012        5.0        Light  
 1987-10-04     20.4        0.0         1011        1.5        Light  
 1987-10-05     19.8        0.0         1012        2.0        Light  
 1987-10-06     19.3        0.0         1018        9.0        Light  
 1987-10-07     17.1        0.0         1021        6.5        Light  
 1987-10-08     16.5        0.0         1017        2.0        Light  
 1987-10-09     18.0        0.0         1016        3.0        Light  
 1987-10-10     18.9        0.0         1012        3.5        Light  
 1987-10-11     17.8        0.0         1020        6.5        Light  
 1987-10-12     15.8        0.0         1025        4.5        Light  
 1987-10-13     14.0        0.0         1024        3.0        Light  
 1987-10-14     13.2        0.0         1028        5.3        Light  
 1987-10-15     11.6        0.0         1025        2.5        Light  
 1987-10-16     10.7        0.2         1017        1.0        Light  
 1987-10-17     15.7        0.0         1016        9.0        Light  
 1987-10-18     10.7        0.0         1018        9.5        Light  
 1987-10-19     5.8         0.0         1022        7.3        Light  
 1987-10-20     8.3         0.0         1023        4.0        Light  
 1987-10-21     9.0         0.0         1025        4.5        Light  
 1987-10-22     8.6         0.0         1024        2.0        Light  
 1987-10-23     9.8         0.0         1027        2.0        Light  
 1987-10-24     10.0        0.0         1028        5.0        Light  
 1987-10-25     10.0        0.0         1024        2.0        Light  
 1987-10-26     9.5         0.0         1019        3.0        Light  
 1987-10-27     12.6        0.0         1017        3.0        Light  
 1987-10-28     12.6        0.0         1012        4.0        Light  
 1987-10-29     11.9        0.0         1023        15.0      Moderate
 1987-10-30     7.1         0.0         1032        7.5        Light  
 1987-10-31     2.9         13.0        1032        1.0        Light  
