earn height sex ed age race
 50000 74.42444 male   16 45 white   
 60000 65.53754 female 16 58 white   
 30000 63.62920 female 16 29 white   
 50000 63.10856 female 16 91 other   
 51000 63.40248 female 17 39 white   
  9000 64.39951 female 15 26 white   
 29000 61.65633 female 12 49 white   
 32000 72.69854 male   17 46 white   
  2000 72.03947 male   15 21 hispanic
 27000 72.23493 male   12 26 white   
  6530 69.51215 male   16 65 white   
 30000 68.03161 male   11 34 white   
 12000 67.55693 male   12 27 white   
 12000 65.43059 female 12 51 white   
 22000 65.66285 female 16 35 white   
 17000 67.75877 male   12 58 white   
 40000 68.35184 female 14 29 white   
 44000 69.60957 male   13 44 white   
  7000 64.18457 female 12 55 black   
 53000 73.07461 male   13 35 black   
  5000 62.37553 female 13 51 white   
 14000 63.02393 female 14 21 white   
  5500 67.22990 male   14 22 white   
 40000 65.55111 female 12 41 white   
 34000 72.07965 male   12 45 white   
 10000 63.09113 female 12 35 black   
 27000 64.32355 female 16 60 white   
 50000 71.64285 male   16 38 white   
 41000 76.79309 male   16 33 white   
 15000 63.89391 female 14 25 white   
 25000 63.80262 female 12 33 white   
 75000 71.59223 male   17 39 white   
 27000 67.52196 male   17 31 white   
 12000 64.39435 female 12 26 white   
  7500 61.17822 female 14 78 white   
 30000 66.98388 female 14 31 black   
 21000 65.31646 female 12 57 white   
 27000 63.57419 female 14 26 white   
  3000 66.61100 female 15 65 white   
 25000 64.91176 female 12 30 white   
 24000 64.78968 female 12 41 white   
 32000 66.93769 female 18 29 white   
 10000 68.17281 female 17 30 white   
 11000 60.45066 female 12 21 hispanic
 18700 64.79325 female 13 32 white   
 20000 61.81492 female 12 29 white   
  3500 71.57215 male   10 18 white   
 13000 67.31441 male    8 56 black   
 25000 69.89987 male   12 65 white   
 21000 69.76170 male   17 41 white   
 34000 67.74647 female 17 49 white   
  6000 60.19022 female 12 65 white   
 17000 71.00650 male   12 28 white   
 35000 71.16680 male   12 32 white   
  4000 72.73563 male   13 18 white   
 14000 68.13822 female 14 55 white   
 10000 66.37981 female 12 57 white   
 25000 69.23278 male   16 29 white   
 16000 63.27394 female 14 27 white   
 16000 61.82776 male   14 28 hispanic
 16500 64.22121 female 14 43 white   
  4000 63.84127 female  9 68 white   
  3840 66.97477 female  9 52 white   
 22000 71.45149 male   12 39 white   
   200 59.61265 female 16 53 white   
 26000 65.79939 female 16 27 white   
  2500 66.45804 female 15 21 white   
 17000 64.60288 female 14 39 white   
  8000 70.44048 female 13 22 white   
 12000 65.92281 female 13 68 white   
 10000 61.85683 female 12 47 white   
 10000 65.78444 female 15 67 white   
 15000 71.83128 male   12 39 white   
  2400 67.04533 female  8 39 hispanic
 30000 68.30551 male   12 32 hispanic
 30000 70.02546 male   12 33 white   
 10000 61.81039 female 12 38 white   
  5000 62.95107 female 13 26 white   
 12000 65.82114 female 13 63 white   
 20000 70.39755 female 10 61 white   
 20000 68.37778 female 12 36 white   
 20000 69.93270 male   14 23 white   
  1200 66.17181 female 12 20 white   
   700 68.45636 female 16 32 white   
 20000 69.90386 male   16 27 white   
 10000 61.14966 female 12 22 hispanic
 30000 63.36335 female 12 73 white   
 40000 64.14708 female 14 56 white   
 25000 67.31839 male   12 89 white   
 10000 60.67494 female 17 79 white   
 60000 68.84090 female 18 63 white   
 18000 67.68273 female 12 66 white   
 16040 64.49677 female 12 33 white   
 15000 66.81240 female 14 30 black   
 10000 68.74644 male   17 23 white   
 33000 67.06765 female 13 43 white   
 18000 68.13799 female 12 30 white   
 15000 63.34290 female 12 37 white   
 21000 71.38667 male   12 22 white   
 21000 63.98834 female 17 43 black   
 37000 68.48639 male   11 37 white   
 38000 67.51614 female 17 44 white   
 17000 65.60084 female 14 43 hispanic
 32000 76.80019 male   16 30 white   
 27500 67.10538 female 12 58 white   
 16500 62.15164 female 12 44 white   
 25000 66.86762 female 18 35 white   
 27000 61.04220 female 18 43 white   
  5000 64.12329 female 12 28 white   
 70000 61.54482 female 16 38 white   
  5000 62.55624 female 12 40 white   
  5000 68.16377 male   16 24 white   
 20000 63.65513 female 15 26 white   
  4000 72.37352 male   15 21 white   
 60000 64.14708 female 16 35 white   
  5000 61.32670 female 13 31 white   
 30000 74.36640 male   12 38 white   
 70000 70.21016 male   14 35 white   
 50000 71.10619 male   16 41 white   
 44000 62.59484 female 12 39 white   
 30000 64.05496 female 14 43 white   
 10000 61.57362 female 16 40 white   
 23000 70.48020 female 17 42 white   
 45000 71.18591 male   17 62 white   
 15000 71.43364 male   14 31 white   
  4000 70.22885 female 14 71 white   
 17000 67.28086 male   14 31 white   
 30000 63.75869 female 12 32 white   
 27500 67.08652 female 12 30 white   
  5688 61.67960 female  8 69 white   
 18000 62.28600 female 13 56 hispanic
 43000 68.29248 male   13 44 black   
 32000 61.58948 female 14 44 black   
 10000 68.41774 female 18 56 black   
 60000 73.99126 male   13 45 white   
 21000 67.56107 female 12 50 other   
  2400 62.33793 female 16 22 white   
  1000 66.24001 female 15 28 white   
 27000 68.09847 male   12 27 white   
  6600 59.77087 female 14 28 hispanic
 16000 68.06338 male    8 43 white   
 90000 71.68015 male   12 26 white   
  8000 66.35971 female 12 42 white   
 20000 68.35626 male   10 32 white   
 15000 68.45654 female 12 18 white   
 12000 68.78610 female 12 60 white   
 24000 64.10224 female 16 46 white   
 20000 65.11349 female 14 39 white   
 19000 60.64919 female 12 46 white   
 10000 72.12570 male   12 49 white   
 40000 65.51073 female 16 34 white   
 25000 67.93190 male   14 64 white   
 25000 70.44492 male   12 24 white   
 25000 71.36585 male   14 32 white   
 19000 71.12507 male   16 61 white   
 44000 68.16014 male   16 48 white   
 15000 60.11333 female 14 49 white   
 17000 62.78820 female 12 36 white   
 24000 68.07772 male   12 56 white   
 23000 64.05084 female 12 37 white   
 13000 69.71580 male   12 74 white   
 65000 68.22067 male   16 46 white   
  7000 60.88386 female 12 63 white   
 40000 68.40754 male   18 63 white   
 15000 66.00198 female 17 43 white   
 20000 69.79789 male   16 25 white   
 20000 71.01071 male   12 50 white   
 20000 65.14241 female 12 42 white   
 25000 65.96711 female 12 49 white   
 49000 69.99053 male   13 37 white   
 25000 61.87668 female 12 65 white   
 11000 66.10888 female 14 57 white   
 16000 61.05431 female 15 38 white   
 35000 71.56357 male   14 43 white   
125000 74.34062 male   18 45 white   
 23000 66.57699 female 12 47 white   
 17000 66.11044 female 16 28 white   
 27000 61.96569 female 12 41 white   
 70000 71.74551 male   14 32 white   
 35000 64.56222 female 15 47 white   
 10000 60.19882 female 12 62 white   
 35000 61.91637 female 15 39 white   
 15000 66.41355 female 12 38 white   
 12000 63.69852 female 12 39 white   
  8000 71.29091 male   12 68 white   
  8000 65.25376 female 12 50 white   
 35000 73.00546 male   18 50 white   
 45000 68.64007 male   11 51 white   
 15000 64.38145 female 14 22 white   
 15000 61.06026 female 12 77 white   
 24000 66.78936 female 18 51 white   
 25000 61.82930 female 13 32 white   
 25000 62.60956 female 14 54 black   
 20000 67.36466 male   10 28 other   
 24000 68.01697 female 12 24 white   
 44000 72.06415 male   16 46 white   
 69000 70.10862 male   12 38 white   
 62000 69.85249 male   18 44 white   
 32000 67.45525 male   14 32 black   
 20000 63.45313 female 12 33 black   
 32000 66.29297 female 18 35 other   
 25000 65.83480 female 17 50 white   
170000 71.01003 male   18 45 white   
 35000 66.61942 male   16 33 white   
 40000 75.56859 male   16 38 black   
 33000 68.95220 male   14 30 white   
 18000 65.34873 female 12 22 white   
 30000 61.75212 female 13 43 white   
 26000 61.76413 female 12 31 white   
  5000 62.41147 female 12 21 white   
 20000 61.90433 female 16 73 white   
 17000 60.63861 female 12 30 white   
 32000 64.82458 female 14 28 white   
 15000 72.27075 male   14 22 white   
 50000 71.67228 male   14 55 white   
  8000 63.77093 female 12 39 white   
 40000 70.78659 male   14 51 white   
 40000 72.40979 male   15 41 white   
 32750 66.08798 male   12 34 white   
 20000 64.99933 female 14 69 white   
 36000 64.52930 female 15 39 black   
  6000 61.74268 female 12 64 white   
 12000 65.84031 female 14 34 black   
 60000 67.39964 male   14 63 white   
 40000 64.02227 female 13 44 white   
 43000 63.22614 female 12 38 white   
 45000 67.49430 female 16 34 white   
  6000 68.00212 female 18 39 white   
  8000 63.85791 female 10 82 other   
 20000 64.39506 female 13 39 black   
 17000 66.43901 male   12 23 black   
  2000 64.76538 female 12 32 white   
 65000 64.53856 male   12 28 white   
 50000 71.58593 male   12 41 white   
 11000 68.34822 female 12 38 white   
 35000 74.43320 male   18 30 white   
 27000 63.21770 male   12 33 white   
  3500 64.31432 female 12 61 white   
 42000 68.15146 male   12 37 white   
 20000 67.49495 female 18 29 white   
 15000 67.31617 female 12 29 white   
 10000 72.98672 male   12 21 white   
  6000 70.49116 male    8 78 white   
 17000 64.88575 female 16 23 hispanic
 35000 68.54049 male   16 65 hispanic
 28000 76.68067 male   14 28 white   
 15000 67.69396 female 12 33 white   
 20000 61.97134 female 17 24 white   
 20000 64.21270 female 12 29 white   
 10500 67.22247 male   12 42 hispanic
 13000 69.90214 male   16 22 white   
 10000 61.77745 female 12 52 white   
  3000 63.08135 female 12 37 white   
 24000 62.33487 female 14 29 white   
 17000 68.69584 female 13 35 white   
 11000 64.09801 female 12 48 white   
 32000 69.03400 female 14 40 white   
 17000 58.66032 female 15 26 white   
  3000 66.22625 female 12 35 other   
  2100 62.09126 female 12 21 black   
  3192 75.13845 male   11 34 black   
 17000 63.31428 female 17 26 white   
 30000 64.55410 female 13 28 white   
 15000 69.80036 male   12 32 white   
 24000 67.84325 female 16 42 white   
 10000 64.95007 female 14 67 white   
 50000 69.21831 male    8 53 white   
 50000 71.88612 male   16 53 white   
 20000 63.52426 female 17 49 white   
 30000 62.67856 female 18 54 hispanic
 22000 73.47394 female 14 45 white   
 27000 75.09407 male   12 24 white   
  4000 64.77306 female 12 38 white   
 17500 66.25353 female 17 26 white   
 16500 66.39351 female 14 28 white   
 28000 64.00329 female 16 39 white   
 52000 65.57394 female 18 50 white   
 15000 64.27616 female 16 29 white   
 19000 62.64666 female 13 32 white   
 27000 72.55974 male   12 23 white   
 15000 71.78231 male    8 58 white   
 15000 71.50386 male   14 33 white   
 14500 64.15775 female 12 55 white   
 24000 64.22769 female 13 30 white   
 18000 67.79798 male   15 36 white   
  4000 62.27896 female 12 68 white   
  4000 68.50410 female 13 57 white   
   700 60.11268 female 12 36 white   
 24000 64.97933 female 12 91 white   
 27000 75.96951 male   12 39 white   
 12000 72.32790 female 12 35 white   
 22000 61.76565 female 18 47 white   
 30000 61.61640 female 13 36 white   
 35000 70.55408 male   12 61 white   
 20000 74.08120 male   12 42 white   
 32000 65.47242 female 16 32 white   
  6000 63.36531 female 12 31 other   
 12000 66.85000 female 12 39 white   
 10000 63.26609 female 12 31 white   
  1000 64.74551 female 12 18 white   
 12000 63.54206 female 15 71 white   
 16000 64.92311 female 12 36 white   
 25000 63.24201 female 16 33 white   
 25000 69.52456 female 12 27 white   
 32000 67.97809 male   12 30 white   
 35000 66.54874 male   14 43 white   
  6000 64.58870 female 12 28 white   
 80000 68.76669 male   14 44 white   
 20000 68.08389 female 14 25 white   
  1000 65.81591 female 17 38 white   
 28000 71.40238 male   13 38 hispanic
 26000 63.76354 male   16 23 hispanic
 27000 73.52538 male   12 24 white   
 18000 61.97999 female 13 41 white   
  2000 65.21052 female 12 59 white   
 20000 69.37547 male   12 66 white   
  6000 66.08656 female 16 48 white   
 25000 66.52544 male   11 63 white   
 12000 73.17216 male   12 29 white   
 12000 76.18488 male   12 57 white   
 30000 69.52563 male   14 76 white   
  4000 62.87571 female 15 22 black   
 26000 62.78291 female 13 37 black   
 23000 70.07592 male   12 35 black   
 21000 71.06308 male   12 33 white   
 25000 65.22338 female 12 62 white   
 18000 70.38000 male   16 75 white   
  4000 63.24725 female 13 44 white   
 23900 63.92087 female 12 22 white   
 35000 64.32948 female 18 40 white   
 26000 66.73039 male   14 30 white   
 25000 66.49049 male   16 36 white   
 23500 68.01891 female 13 27 white   
 12000 65.22522 female 12 22 white   
 15000 67.12425 female 12 20 white   
  3000 72.93588 male   17 23 white   
  6000 63.57961 female 12 67 white   
 14000 71.44772 male   12 69 white   
 15000 63.28314 female 16 31 white   
175000 70.58955 male   16 48 white   
  1000 73.37096 male   18 25 white   
 10000 64.68889 female 14 63 white   
 45000 65.92309 male   13 82 white   
 15000 65.84832 female 12 81 white   
 20000 59.20287 female 13 41 white   
